postalCode,activity,location,date,time,neighbourhood,quote,popupContent,lon,lat
N2G 3H4,Fall Family Fun Fair,90 Benton Street at Benton Street Baptist Church,2014-10-29,6:30pm-8:00pm,Benton Street Neighbourhood,"A fun night for families of our community. Games, stories, contests, photo booth and snacks.","<b>Activity:</b> Fall Family Fun Fair<br><b>Location:</b> 90 Benton Street at Benton Street Baptist Church<br><b>Neighbourhood:</b> Benton Street Neighbourhood<br><b>Date:</b> 2014-10-29<br><b>Time:</b> 6:30pm-8:00pm<br><br><i>""A fun night for families of our community. Games, stories, contests, photo booth and snacks.""</i>",-80.4898308,43.4472742
N2H 5N2,Halloween Party,310 Louisa Street,2014-10-24,7:30pm-11:30pm,Victoria Common - Mt. Hope,"We have invited our clients, consultants, brokers who have worked with us, and friends we have met these last two years.","<b>Activity:</b> Halloween Party<br><b>Location:</b> 310 Louisa Street<br><b>Neighbourhood:</b> Victoria Common - Mt. Hope<br><b>Date:</b> 2014-10-24<br><b>Time:</b> 7:30pm-11:30pm<br><br><i>""We have invited our clients, consultants, brokers who have worked with us, and friends we have met these last two years.""</i>",-80.4900046,43.4608666
N2A 4L6,Oktoberfest event at Chicopee  ,"William Lewis St, then Chicopee Ski Resort",2014-10-18,,Tremaine Park,"We celebrated Kitchener's German heritage by celebrating Oktoberfest as a group. Before the festivities, one of the neighbourhood families welcomed anyone and everyone into their home for dinner.","<b>Activity:</b> Oktoberfest event at Chicopee  <br><b>Location:</b> William Lewis St, then Chicopee Ski Resort<br><b>Neighbourhood:</b> Tremaine Park<br><b>Date:</b> 2014-10-18<br><b>Time:</b> <br><br><i>""We celebrated Kitchener's German heritage by celebrating Oktoberfest as a group. Before the festivities, one of the neighbourhood families welcomed anyone and everyone into their home for dinner.""</i>",-80.411613,43.4413016
N2A 4L6,"Annual Tremaine Park Tree Trimming
",At the Tremaine park Christmas Tree,2014-11-23,,Tremaine Park,"Weather wasn't cooperating much, so when we saw a sunny break, we reached out to as many park families as we could to invite them for cookies, hot chocolate, candy canes, and festive tree decorating fun!","<b>Activity:</b> Annual Tremaine Park Tree Trimming<br><b>Location:</b> At the Tremaine park Christmas Tree<br><b>Neighbourhood:</b> Tremaine Park<br><b>Date:</b> 2014-11-23<br><b>Time:</b> <br><br><i>""Weather wasn't cooperating much, so when we saw a sunny break, we reached out to as many park families as we could to invite them for cookies, hot chocolate, candy canes, and festive tree decorating fun!""</i>",-80.411613,43.4413016
N2A 4L5,Colin's 3rd Annual Toy Drive for Anselma House,Colin's House on Sims Estate Dr,2014-11-30,12:30pm-2:30pm,Edgewater Estates,"Colin has been doing this for years now, and we often hear from others that he has inspired them to help the Anselma House specifically, or another charity of their choice. At the Toy Drive we always have a chance to meet new faces, and visit with familiar ones.","<b>Activity:</b> Colin's 3rd Annual Toy Drive for Anselma House<br><b>Location:</b> Colin's House on Sims Estate Dr<br><b>Neighbourhood:</b> Edgewater Estates<br><b>Date:</b> 2014-11-30<br><b>Time:</b> 12:30pm-2:30pm<br><br><i>""Colin has been doing this for years now, and we often hear from others that he has inspired them to help the Anselma House specifically, or another charity of their choice. At the Toy Drive we always have a chance to meet new faces, and visit with familiar ones.""</i>",-80.4098739,43.4402596
N2G 1K9,Holiday Potluck and Annual General Meeting,Victoria Park Pavilion,2014-11-23,6pm-9pm,Victoria Park Neighbourhood,"Neighbours are starting to see this as an annual event to get together and connect with other residents. It also informs residents of some of the great work the VPNA has been up to and provides an opportunity for residents to provide feedback on suggested improvements, ideas, etc.","<b>Activity:</b> Holiday Potluck and Annual General Meeting<br><b>Location:</b> Victoria Park Pavilion<br><b>Neighbourhood:</b> Victoria Park Neighbourhood<br><b>Date:</b> 2014-11-23<br><b>Time:</b> 6pm-9pm<br><br><i>""Neighbours are starting to see this as an annual event to get together and connect with other residents. It also informs residents of some of the great work the VPNA has been up to and provides an opportunity for residents to provide feedback on suggested improvements, ideas, etc.""</i>",-80.4981697,43.4449867
N2G 1K9,Lecture - Harold Russell about his experience growing up in Victoria Park during World War Two,Victoria Park Pavilion,2014-10-16,7pm:9pm,Victoria Park Neighbourhood ,Encourages neighbours to gather and learn about the history of the area/neighbourhood.,"<b>Activity:</b> Lecture - Harold Russell about his experience growing up in Victoria Park during World War Two<br><b>Location:</b> Victoria Park Pavilion<br><b>Neighbourhood:</b> Victoria Park Neighbourhood <br><b>Date:</b> 2014-10-16<br><b>Time:</b> 7pm:9pm<br><br><i>""Encourages neighbours to gather and learn about the history of the area/neighbourhood.""</i>",-80.4981697,43.4449867
N2A 2M4, Community Movie Night - Mr. Peabody and Sherman,Centreville-Chicopee Community Centre,2014-11-06,5:30pm-8:30pm,Centreville Chicopee,"Had new faces attend the event, as well as many people who have made these movie evenings a regular part of their attendance at the centre.","<b>Activity:</b>  Community Movie Night - Mr. Peabody and Sherman<br><b>Location:</b> Centreville-Chicopee Community Centre<br><b>Neighbourhood:</b> Centreville Chicopee<br><b>Date:</b> 2014-11-06<br><b>Time:</b> 5:30pm-8:30pm<br><br><i>""Had new faces attend the event, as well as many people who have made these movie evenings a regular part of their attendance at the centre.""</i>",-80.4295226,43.4283338
N2A 4L5,"1st Annual Lantern Walk
",Colin's House on Sims Estate Dr,2014-12-15,6.30pm,Edgewater Estates,"Kids brought glowsticks, flashlights and hot chocolate as we walked through the neighbourhood admiring the Christmas Lights.","<b>Activity:</b> 1st Annual Lantern Walk<br><b>Location:</b> Colin's House on Sims Estate Dr<br><b>Neighbourhood:</b> Edgewater Estates<br><b>Date:</b> 2014-12-15<br><b>Time:</b> 6.30pm<br><br><i>""Kids brought glowsticks, flashlights and hot chocolate as we walked through the neighbourhood admiring the Christmas Lights.""</i>",-80.4098739,43.4402596
N2E 4H9,"Family Day Activities, inside and outside",Max Becker common (weather permitting) and Williamsburg Community Centre,2015-02-16,1pm-4pm,Williamsburg,"Welcoming first time skaters and having freshly sharpened skates for them to borrow! Family Fun Photo studio, crafts, hot chocolate are the perfect invitations for neighbours.","<b>Activity:</b> Family Day Activities, inside and outside<br><b>Location:</b> Max Becker common (weather permitting) and Williamsburg Community Centre<br><b>Neighbourhood:</b> Williamsburg<br><b>Date:</b> 2015-02-16<br><b>Time:</b> 1pm-4pm<br><br><i>""Welcoming first time skaters and having freshly sharpened skates for them to borrow! Family Fun Photo studio, crafts, hot chocolate are the perfect invitations for neighbours.""</i>",-80.50286,43.4061138
N2H 2V8,Soup Stock,Brubacher Green,2014-11-2,6pm-8pm,Central Frederick,It was a fall celebration where everyone was invited to the Brubacher Green Park and to bring along with them their favourite soup and then we had a neighbourhood potluck sharing everyone's soups.,"<b>Activity:</b> Soup Stock<br><b>Location:</b> Brubacher Green<br><b>Neighbourhood:</b> Central Frederick<br><b>Date:</b> 2014-11-2<br><b>Time:</b> 6pm-8pm<br><br><i>""It was a fall celebration where everyone was invited to the Brubacher Green Park and to bring along with them their favourite soup and then we had a neighbourhood potluck sharing everyone's soups.""</i>",-80.4791454,43.4509312
N2E 4A3,Community Fun Fair,WT Townshend Public School,2015-02-28,11am-4pm,Laurentian West,Free event that would bring our community together in the winter! We approached different organizations to ask them to host the activities.,"<b>Activity:</b> Community Fun Fair<br><b>Location:</b> WT Townshend Public School<br><b>Neighbourhood:</b> Laurentian West<br><b>Date:</b> 2015-02-28<br><b>Time:</b> 11am-4pm<br><br><i>""Free event that would bring our community together in the winter! We approached different organizations to ask them to host the activities.""</i>",-80.5150187,43.4068298
N2G 1E3,Skating Party,King Edward School Downfield Rink,2015-02-08,3pm-7pm,Cherry Park ,"We had a skating party with tobogganing, snow shoeing, hockey shootout challenges, curling, hot chocolate, and hot dogs.","<b>Activity:</b> Skating Party<br><b>Location:</b> King Edward School Downfield Rink<br><b>Neighbourhood:</b> Cherry Park <br><b>Date:</b> 2015-02-08<br><b>Time:</b> 3pm-7pm<br><br><i>""We had a skating party with tobogganing, snow shoeing, hockey shootout challenges, curling, hot chocolate, and hot dogs.""</i>",-80.5094606,43.4559275
N2G 1X7,Family Day Weekend Sledding and Skating Party,Victoria Park Commons,2015-02-14,1pm-3pm,Victoria Park,"Helped connect neighbours with neighbours who might not otherwise have reason to do so.
","<b>Activity:</b> Family Day Weekend Sledding and Skating Party<br><b>Location:</b> Victoria Park Commons<br><b>Neighbourhood:</b> Victoria Park<br><b>Date:</b> 2015-02-14<br><b>Time:</b> 1pm-3pm<br><br><i>""Helped connect neighbours with neighbours who might not otherwise have reason to do so.""</i>",-80.4936529,43.4481907
N2A 4K7,Halloween Fun,Stanley Park Community Centre,2014-10-25,1pm-3pm,Stanley Park,Provided community members with a place to enjoy Halloween safely as well as to introduce neighbours to each other.  By using the community centre helped create awareness of the building and all the services it can offer to the community.,"<b>Activity:</b> Halloween Fun<br><b>Location:</b> Stanley Park Community Centre<br><b>Neighbourhood:</b> Stanley Park<br><b>Date:</b> 2014-10-25<br><b>Time:</b> 1pm-3pm<br><br><i>""Provided community members with a place to enjoy Halloween safely as well as to introduce neighbours to each other.  By using the community centre helped create awareness of the building and all the services it can offer to the community.""</i>",-80.4492536,43.448275
N2A 4K7,Family Movie Night,Stanley Park Community Centre,2014-10-14,6pm-9pm,Stanley Park,Provided a free space that was accessible to all children in the community regardless of ability.  The event was free making it accessible to people of all socio-economic statuses.,"<b>Activity:</b> Family Movie Night<br><b>Location:</b> Stanley Park Community Centre<br><b>Neighbourhood:</b> Stanley Park<br><b>Date:</b> 2014-10-14<br><b>Time:</b> 6pm-9pm<br><br><i>""Provided a free space that was accessible to all children in the community regardless of ability.  The event was free making it accessible to people of all socio-economic statuses.""</i>",-80.4492536,43.448275
N2A 4K7,First Annual Christmas Party,Stanley Park Community Centre,2014-11-29,1:30pm-3:30pm,Stanley Park,This gathering produced a large number of new faces to the community centre that we had not previously seen.  It provided opportunities to seek out information and suggestions from community members and for community members to see what their community centre as to offer.,"<b>Activity:</b> First Annual Christmas Party<br><b>Location:</b> Stanley Park Community Centre<br><b>Neighbourhood:</b> Stanley Park<br><b>Date:</b> 2014-11-29<br><b>Time:</b> 1:30pm-3:30pm<br><br><i>""This gathering produced a large number of new faces to the community centre that we had not previously seen.  It provided opportunities to seek out information and suggestions from community members and for community members to see what their community centre as to offer.""</i>",-80.4492536,43.448275
N2A 4K7,2nd Annual Family Day Fun,Stanley Park Community Centre,2015-02-16,,Stanley Park,Provided an event for families to come together to engage in crafts and swimming with their children or for individuals to come out and meet other people in their community.,"<b>Activity:</b> 2nd Annual Family Day Fun<br><b>Location:</b> Stanley Park Community Centre<br><b>Neighbourhood:</b> Stanley Park<br><b>Date:</b> 2015-02-16<br><b>Time:</b> <br><br><i>""Provided an event for families to come together to engage in crafts and swimming with their children or for individuals to come out and meet other people in their community.""</i>",-80.4492536,43.448275
N2B 3M2,Traditional Muskoka Court Night Out,Mandarin Restaurant,2015-02-21,6pm-11pm,Muskoka Court,The night out includes the whole street.  After dinner we were back to one of the houses on the street for dessert and coffee! We know we have a very unique street.,"<b>Activity:</b> Traditional Muskoka Court Night Out<br><b>Location:</b> Mandarin Restaurant<br><b>Neighbourhood:</b> Muskoka Court<br><b>Date:</b> 2015-02-21<br><b>Time:</b> 6pm-11pm<br><br><i>""The night out includes the whole street.  After dinner we were back to one of the houses on the street for dessert and coffee! We know we have a very unique street.""</i>",-80.4429089,43.4654204
N2K 1G9,Movie Matinee,Bridgeport Community Centre,2014-10-05,2pm-4pm,Bridgeport Neighbourhood,"It brings our community together ""belonging"" and allows people and families to meet each other. Many of our children go to different schools and it is great to bring people together in our community.","<b>Activity:</b> Movie Matinee<br><b>Location:</b> Bridgeport Community Centre<br><b>Neighbourhood:</b> Bridgeport Neighbourhood<br><b>Date:</b> 2014-10-05<br><b>Time:</b> 2pm-4pm<br><br><i>""It brings our community together ""belonging"" and allows people and families to meet each other. Many of our children go to different schools and it is great to bring people together in our community.""</i>",-80.478016,43.4826835
N2K 1G9,Halloween Dance,Bridgeport Community Centre,2014-10-24,6:30pm-8:30pm,Bridgeport Neighbourhood,It is such a great dance for families and the children have so much fun. We have hula hoop competitions and children all get to take home something.,"<b>Activity:</b> Halloween Dance<br><b>Location:</b> Bridgeport Community Centre<br><b>Neighbourhood:</b> Bridgeport Neighbourhood<br><b>Date:</b> 2014-10-24<br><b>Time:</b> 6:30pm-8:30pm<br><br><i>""It is such a great dance for families and the children have so much fun. We have hula hoop competitions and children all get to take home something.""</i>",-80.478016,43.4826835
N2K 1G9,Community Movie,Bridgeport Community Centre,2014-11-02,2pm-4pm,Bridgeport Neighbourhood,This is a monthly movie series that invites the community to come and share time together.,"<b>Activity:</b> Community Movie<br><b>Location:</b> Bridgeport Community Centre<br><b>Neighbourhood:</b> Bridgeport Neighbourhood<br><b>Date:</b> 2014-11-02<br><b>Time:</b> 2pm-4pm<br><br><i>""This is a monthly movie series that invites the community to come and share time together.""</i>",-80.478016,43.4826835
N2K 1G9,Tree Trimming Party,Bridgeport Community Centre,2014-11-30,4pm-6pm,Bridgeport Neighbourhood,"This was an amazing event that brings our community together. We decorate a Christmas tree, we provide snacks. Children get to make crafts, decorate a gingerbread and have fun. Santa visited this year. Attendees also trace their hand, and all the hands is made into a Christmas tree that we put up the following year.","<b>Activity:</b> Tree Trimming Party<br><b>Location:</b> Bridgeport Community Centre<br><b>Neighbourhood:</b> Bridgeport Neighbourhood<br><b>Date:</b> 2014-11-30<br><b>Time:</b> 4pm-6pm<br><br><i>""This was an amazing event that brings our community together. We decorate a Christmas tree, we provide snacks. Children get to make crafts, decorate a gingerbread and have fun. Santa visited this year. Attendees also trace their hand, and all the hands is made into a Christmas tree that we put up the following year.""</i>",-80.478016,43.4826835
N2K 1G9,Community Movie,Bridgeport Community Centre,2014-12-07,2pm-4pm,Bridgeport Neighbourhood,It allows people to meet from different areas in our neighbourhood and sometimes families and children meet who attend different schools.,"<b>Activity:</b> Community Movie<br><b>Location:</b> Bridgeport Community Centre<br><b>Neighbourhood:</b> Bridgeport Neighbourhood<br><b>Date:</b> 2014-12-07<br><b>Time:</b> 2pm-4pm<br><br><i>""It allows people to meet from different areas in our neighbourhood and sometimes families and children meet who attend different schools.""</i>",-80.478016,43.4826835
N2K 1G9,Community Movie,Bridgeport Community Centre,2015-01-12,2pm-4pm,Bridgeport Neighbourhood,Some families make this a monthly outing to enjoy as a family.,"<b>Activity:</b> Community Movie<br><b>Location:</b> Bridgeport Community Centre<br><b>Neighbourhood:</b> Bridgeport Neighbourhood<br><b>Date:</b> 2015-01-12<br><b>Time:</b> 2pm-4pm<br><br><i>""Some families make this a monthly outing to enjoy as a family.""</i>",-80.478016,43.4826835
N2K 1G9,Community Movie,Bridgeport Community Centre,2015-02-07,2pm-4pm,Bridgeport Neighbourhood,The monthly movie is an event that community members enjoy each month and families are able to bring everyone.,"<b>Activity:</b> Community Movie<br><b>Location:</b> Bridgeport Community Centre<br><b>Neighbourhood:</b> Bridgeport Neighbourhood<br><b>Date:</b> 2015-02-07<br><b>Time:</b> 2pm-4pm<br><br><i>""The monthly movie is an event that community members enjoy each month and families are able to bring everyone.""</i>",-80.478016,43.4826835
N2K 1G9,Community Valentines Dance,Bridgeport Community Centre,2015-02-13,6:30pm-8:30pm,Bridgeport Neighbourhood,"The association decorates the community centre in the theme of the event, and families love to attend. Children participate in dances and everyone goes home with  something.","<b>Activity:</b> Community Valentines Dance<br><b>Location:</b> Bridgeport Community Centre<br><b>Neighbourhood:</b> Bridgeport Neighbourhood<br><b>Date:</b> 2015-02-13<br><b>Time:</b> 6:30pm-8:30pm<br><br><i>""The association decorates the community centre in the theme of the event, and families love to attend. Children participate in dances and everyone goes home with  something.""</i>",-80.478016,43.4826835
N2C 2B1,Movie and Popcorn,Vanier Community Room,2015-03-16,3pm-5pm,Traynor-Vanier,,<b>Activity:</b> Movie and Popcorn<br><b>Location:</b> Vanier Community Room<br><b>Neighbourhood:</b> Traynor-Vanier<br><b>Date:</b> 2015-03-16<br><b>Time:</b> 3pm-5pm,-80.4540336,43.4218853
N2C 2B1,Bingo Time,Vanier Community Room,2015-03-17,10am-12pm,Traynor-Vanier,,<b>Activity:</b> Bingo Time<br><b>Location:</b> Vanier Community Room<br><b>Neighbourhood:</b> Traynor-Vanier<br><b>Date:</b> 2015-03-17<br><b>Time:</b> 10am-12pm,-80.4540336,43.4218853
N2C 2B1,Board Games and Tea,Vanier Community Room,2015-03-18,3pm-5pm,Traynor-Vanier,,<b>Activity:</b> Board Games and Tea<br><b>Location:</b> Vanier Community Room<br><b>Neighbourhood:</b> Traynor-Vanier<br><b>Date:</b> 2015-03-18<br><b>Time:</b> 3pm-5pm,-80.4540336,43.4218853
N2C 2B1,Carnival Games,Vanier Community Room,2015-03-19,10am-12pm,Traynor-Vanier,,<b>Activity:</b> Carnival Games<br><b>Location:</b> Vanier Community Room<br><b>Neighbourhood:</b> Traynor-Vanier<br><b>Date:</b> 2015-03-19<br><b>Time:</b> 10am-12pm,-80.4540336,43.4218853
N2C 2B1,Spring Clean Up,Traynor Vanier buildings ,2015-04-25,10am-12pm,Traynor-Vanier,We have made the KW Tenant Group to help bring the families together and to help bring our buildings up to code.,"<b>Activity:</b> Spring Clean Up<br><b>Location:</b> Traynor Vanier buildings <br><b>Neighbourhood:</b> Traynor-Vanier<br><b>Date:</b> 2015-04-25<br><b>Time:</b> 10am-12pm<br><br><i>""We have made the KW Tenant Group to help bring the families together and to help bring our buildings up to code.""</i>",-80.4540336,43.4218853
N2P 2K5,Annual Holiday Gathering,Deer Ridge Golf Course,2014-12-04,7pm,Settler's Grove Community,Our community is still new so we are making memories and building history.,"<b>Activity:</b> Annual Holiday Gathering<br><b>Location:</b> Deer Ridge Golf Course<br><b>Neighbourhood:</b> Settler's Grove Community<br><b>Date:</b> 2014-12-04<br><b>Time:</b> 7pm<br><br><i>""Our community is still new so we are making memories and building history.""</i>",-80.4124824,43.4068923
N2A 4L4,Annual Easter Egg Hunt,Tremaine Park,2015-04-03,11am-1pm,Tremaine Park,"Each time we gather together for an event, we begin to brainstorm another.  The momentum began a couple of years ago - and shows no signs of slowing.  Many traditions have formed.  New families are easily welcomed at each event, and connections are constantly being made.","<b>Activity:</b> Annual Easter Egg Hunt<br><b>Location:</b> Tremaine Park<br><b>Neighbourhood:</b> Tremaine park<br><b>Date:</b> 2015-04-04<br><b>Time:</b> 11am-1pm<br><br><i>""Each time we gather together for an event, we begin to brainstorm another. The momentum began a couple of years ago - and shows no signs of slowing. Many traditions have formed. New families are easily welcomed at each event, and connections are constantly being made.""</i>",-80.4121346,43.4394057
