Activity ,Location,Date,Neighbourhood,Quote
Fall Family Fun Fair,"Benton Street Baptist Church, 90 Benton Street","October 29 2014, 6:30-8:00pm",Benton Street Neighbourhood,"A fun night for families of our community. Games, stories, contests, photo booth and snacks."
Halloween Party,310 Louisa Street,"October 24 2014, 7:30-11:30pm",Victoria Common - Mt. Hope,"We have invited our clients, consultants, brokers who have worked with us, and friends we have met these last two years."
Oktoberfest event at Chicopee  ,"William Lewis Street, then Chicopee Ski Resort",October 18 2014,Tremaine Park,"We celebrated Kitchener's German heritage by celebrating Oktoberfest as a group. Before the festivities, one of the neighbourhood families welcomed anyone and everyone into their home for dinner."
Oktoberfest event at Chicopee  ,Chicopee Ski Resort,October 18 2014,Tremaine Park,"We celebrated Kitchener's German heritage by celebrating Oktoberfest as a group. Before the festivities, one of the neighbourhood families welcomed anyone and everyone into their home for dinner."
"Annual Tremaine Park Tree Trimming



",At the Tremaine Park Christmas Tree,November 23 2014,Tremaine park,"Weather wasn't cooperating much, so when we saw a sunny break, we reached out to as many park families as we could to invite them for cookies, hot chocolate, candy canes, and festive tree decorating fun!"
Colin's 3rd Annual Toy Drive for Anselma House,Colin's House on Sims Estate Drive,"November 30 2014, 12:30pm",Edgewater Estates,"Colin has been doing this for years now, and we often hear from others that he has inspired them to help the Anselma House specifically, or another charity of their choice. At the Toy Drive we always have a chance to meet new faces, and visit with familiar ones."
Holiday Potluck and Annual General Meeting,Victoria Park Pavilion,"November 23 2014, 6:00-9:00pm",Victoria Park Neighbourhood,"Neighbours are starting to see this as an annual event to get together and connect with other residents. It also informs residents of some of the great work the VPNA has been up to and provides an opportunity for residents to provide feedback on suggested improvements, ideas, etc."
Lecture - Harold Russell about his experience growing up in Victoria Park during World War Two,Victoria Park Pavilion,"October 16 2014, 7:00-9:00pm",Victoria Park Neighbourhood ,Encourages neighbours to gather and learn about the history of the area/neighbourhood.
Â Community Movie Night - Mr. Peabody and Sherman,Centreville-Chicopee Community Centre,"November 6 2014, 5:30-8:30pm",Centreville Chicopee,"Had new faces attend the event, as well as many people who have made these movie evenings a regular part of their attendance at the centre."
"1st Annual Lantern walk
",Colin's House on Sims Estate Drive,"December 15 2014, 6:30pm",Edgewater Estates,"Kids brought glowsticks, flashlights and hot chocolate as we walked through the neighbourhood admiring the Christmas Lights"
"Family Day Activities, inside and outside",Max Becker Common (weather permitting) and Williamsburg Community Centre,"February 16 2015, 1:00-4:00pm",Williamsburg,"Welcoming first time skaters and having freshly sharpened skates for them to borrow! Family Fun Photo studio, crafts, hot chocolate are the perfect invitations for neighbours."
"Family Day Activities, inside and outside",Max Becker Common (weather permitting) and Williamsburg Community Centre,"February 16 2015, 1:00-4:00pm",Williamsburg,"Welcoming first time skaters and having freshly sharpened skates for them to borrow! Family Fun Photo studio, crafts, hot chocolate are the perfect invitations for neighbours."
Soup Stock,Brubacher Green,"November 2 2014,  6:00-8:00pm",Central Frederick,It was a fall celebration where everyone was invited to the Brubacher Green Park and to bring along with them their favourite soup and then we had a neighbourhood potluck sharing everyone's soups.
Community Fun Fair,"WT Townshend Public School 
","February 28 2015, 11:00am-4:00pm",Laurentian West,Free event that would bring our community together in the winter! We approached different organizations to ask them to host the activities.
Skating Party ,King Edward School Downfield Rink,"February 8 2015, 3:00-7:00pm",Cherry Park ,"We had a skating party with tobogganing, snow shoeing, hockey shootout challenges, curling, hot chocolate, and hot dogs."
Family Day Weekend Sledding and Skating Party,Victoria Park Commons,"February 14 2015, 1:00-3:00pm",Victoria Park,"Helped connect neighbours with neighbours who might not otherwise have reason to do so.
"
Halloween Fun,Stanley Park Community Centre,"October 25 2014, 1:00-3:00pm",Stanley Park,Provided community members with a place to enjoy Halloween safely as well as to introduce neighbours to each other.  By using the community centre helped create awareness of the building and all the services it can offer to the community.
Family Movie Night,Stanley Park Community Centre,"October 14 2014, 6:00-9:00pm",Stanley Park,Provided a free space that was accessible to all children in the community regardless of ability.  The event was free making it accessible to people of all socio-economic statuses.
First Annual Christmas Party,Stanley Park Community Centre,"November 29 2014, 1:30-3:30pm",Stanley Park,This gathering produced a large number of new faces to the community centre that we had not previously seen.  It provided opportunities to seek out information and suggestions from community members and for community members to see what their community centre as to offer.
2nd Annual Family Day Fun,Stanley Park Community Centre,February 16 2015,Stanley Park,Provided an event for families to come together to engage in crafts and swimming with their children or for individuals to come out and meet other people in their community.
Traditional Muskoka Court Night Out,Mandarin Restaurant,"February 21 2015, 6:00pm",Muskoka Court,The night out includes the whole street.  After dinner we were back to one of the houses on the street for dessert and coffee! We know we have a very unique street.
Movie Matinee ,Bridgeport Community Centre,"October 5 2014, 2:00pm",Bridgeport Neighbourhood,"It brings our community together ""belonging"" and allows people and families to meet each other. Many of our children go to different schools and it is great to bring people together in our community."
Halloween Dance ,Bridgeport Community Centre,"October 24 2014, 6:30 pm",Bridgeport Neighbourhood,It is such a great dance for families and the children have so much fun. We have hula hoop competitions and children all get to take home something
Community Movie,Bridgeport Community Centre,"November 2 2014, 2:00pm",Bridgeport Neighbourhood,This is a monthly movie series that invites the community to come and share time together.
Tree Trimming Party ,Bridgeport Community Centre,"November 30 2014, 4:00pm",Bridgeport Neighbourhood,"This was an amazing event that brings our community together. We decorate a Christmas tree, we provide snacks. Children get to make crafts, decorate a gingerbread and have fun. Santa visited this year. Attendees also trace their hand, and all the hands is made into a Christmas tree that we put up the following year."
Community Movie,Bridgeport Community Centre,"December 7 2014, 2:00pm",Bridgeport Neighbourhood,It allows people to meet from different areas in our neighbourhood and sometimes families and children meet who attend different schools
Community Movie ,Bridgeport Community Centre,"January 12 2015, 2:00pm",Bridgeport Neighbourhood,Some families make this a monthly outing to enjoy as a family.
Community Movie,Bridgeport Community Centre,"February 7 2015, 2:00pm",Bridgeport Neighbourhood,The monthly movie is an event that community members enjoy each month and families are able to bring everyone.
Community Valentines Dance ,Bridgeport Community Centre,"February 13 2015, 6:30 pm",Bridgeport Neighbourhood,"The association decorates the community centre in the theme of the event, and families love to attend. Children participate in dances and everyone goes home with  something."
